time_period,time_identifier,version,geographic_level,country_code,country_name,establishment_type,subject,qualification_type,grade,number_achieving
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,55,45
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,6,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,65,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,66,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,7,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,76,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,77,9
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,87,10
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,88,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,98,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,99,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,Covid impacted,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,Total exam entries,1194
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,U,152
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Combined Science,GCSE,X,146
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,1,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,2,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,3,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,4,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,5,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,6,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,7,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,8,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,9,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,Total exam entries,37
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,U,12
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Computer Science,GCSE,X,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,1,12
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,2,12
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,3,6
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,4,5
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,5,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,6,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,7,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,Total exam entries,47
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,U,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Design & Technology,GCSE,X,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,1,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,2,12
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,3,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,4,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,5,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,6,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,7,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,Total exam entries,24
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,U,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Drama,GCSE,X,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,1,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,2,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,3,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,4,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,5,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,6,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,7,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,Total exam entries,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,U,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Economics,GCSE,X,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,1,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,2,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,3,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,4,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,5,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,6,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,7,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,8,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,9,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,Covid impacted,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,Total exam entries,3831
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,U,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English & mathematics,GCSE,X,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,1,668
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,2,961
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,3,931
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,4,302
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,5,158
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,6,76
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,7,31
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,8,15
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,9,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,Total exam entries,4022
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,U,353
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Language,GCSE,X,525
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,1,222
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,2,255
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,3,156
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,4,100
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,5,57
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,6,33
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,7,11
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,8,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,9,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,Covid impacted,4
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,Total exam entries,1089
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,U,123
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,English Literature,GCSE,X,124
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,1,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,2,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,3,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,4,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,5,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,6,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,7,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,8,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,9,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,Covid impacted,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,Total exam entries,2254
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,U,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,"English, mathematics & science",GCSE,X,z
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,1,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,2,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,3,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,4,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,5,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,6,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,7,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,9,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,Total exam entries,16
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,U,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Film Studies,GCSE,X,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,1,17
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,2,23
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,3,29
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,4,11
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,5,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,6,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,7,2
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,8,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,9,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,Covid impacted,0
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,Total exam entries,95
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,U,6
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,Food Preparation & Nutrition,GCSE,X,3
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,French,GCSE,1,1
202223,Academic year,Provisional,National,E92000001,England,Alternative provision,French,GCSE,2,3
