time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,characteristics_group,characteristic,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Profound & Multiple Learning Difficulty,277,583,1440.5,2.5,44,7.5,9,1.5,14,2.4,3,0.5,2,0.3,2,0.3,111.83,0.19,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,SEN support but NSA,594,1696,59870,35.3,1657,97.7,295,17.4,657,38.7,252,14.9,58,3.4,110,6.5,4830.51,2.85,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Severe Learning Difficulty,687,2430,7244.75,3,270,11.1,21,0.9,40,1.6,18,0.7,5,0.2,5,0.2,542.86,0.22,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,"social, emotional and mental health (SEMH)",3300,18925,557511.13,29.5,16552,87.5,3323,17.6,6525,34.5,2432,12.9,760,4,1267,6.7,45091.67,2.38,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Specific Learning Difficulty,2921,16243,626441.88,38.6,15776,97.1,3913,24.1,7479,46,2489,15.3,846,5.2,1391,8.6,50853.12,3.13,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,"Speech, Language and Communications Needs",2673,8578,256530.13,29.9,7451,86.9,1231,14.4,2607,30.4,1210,14.1,284,3.3,520,6.1,20732.67,2.42,:,:,:,:,:
202021,Academic year,National,E92000001,England,Revised,All state-funded,Primary Need,Visual Impairment,837,1109,49711,44.8,1041,93.9,437,39.4,644,58.1,312,28.1,172,15.5,227,20.5,4239.81,3.82,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Total,Total,3987,561994,28195360.06,50.2,546183,97.2,280417,49.9,400345,71.2,223514,39.8,119466,21.3,167708,29.8,2463875.43,4.38,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Gender,Girls,3710,275406,14615476.4,53.1,269940,98,148923,54.1,206550,75,125847,45.7,71993,26.1,98720,35.8,1279862.89,4.65,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Gender,Boys,3769,286588,13579883.66,47.4,276243,96.4,131494,45.9,193795,67.6,97667,34.1,47473,16.6,68988,24.1,1184012.54,4.13,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,ASIAN - Total,2957,61023,3323048.75,54.5,59648,97.7,35548,58.3,46776,76.7,31669,51.9,17755,29.1,23924,39.2,298615.33,4.89,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,Unclassified - Total,2053,9570,396455.64,41.4,8613,90,3659,38.2,5505,57.5,2950,30.8,1444,15.1,2088,21.8,34424.89,3.6,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,OTHER - Total,2168,10522,532519.71,50.6,10102,96,5312,50.5,7348,69.8,5373,51.1,2682,25.5,3809,36.2,48312.61,4.59,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,MIXED - Total,3405,29481,1498633.08,50.8,28688,97.3,14805,50.2,20906,70.9,13067,44.3,7013,23.8,9687,32.9,132208.31,4.48,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,WHITE - Total,3968,416504,20701968.79,49.7,405218,97.3,204392,49.1,295453,70.9,153484,36.9,82969,19.9,116765,28,1795697.18,4.31,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,BLACK - Total,2575,32935,1610293.55,48.9,31978,97.1,15141,46,22569,68.5,15713,47.7,6622,20.1,10291,31.2,142257.35,4.32,:,:,:,:,:
201920,Academic year,National,E92000001,England,Revised,All state-funded,Ethnicity,BLACK - Caribbean,1423,7378,324394.88,44,7119,96.5,2567,34.8,4400,59.6,2880,39,954,12.9,1677,22.7,27685.77,3.75,:,:,:,:,:
