time_period,time_identifier,geographic_level,country_code,country_name,pcon_code,pcon_name,version,level_methodology,establishment_type,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,Parliamentary constituency,E92000001,England,E14000997,Tonbridge and Malling,Provisional,School location,State-funded schools (LA),11,1522,84178.5,55.3,1489,97.8,911,59.9,1149,75.5,664,43.6,7310.67,4.8,463,30.4,539,35.4,1359,400.321,0.29,0.22,0.37
202223,Academic year,Parliamentary constituency,E92000001,England,E14000998,Tooting,Provisional,School location,State-funded schools (LA),7,955,49446.75,51.8,910,95.3,566,59.3,699,73.2,712,74.6,4700.03,4.92,337,35.3,454,47.5,888,289.837,0.33,0.23,0.42
202223,Academic year,Parliamentary constituency,E92000001,England,E14000999,Torbay,Provisional,School location,State-funded schools (LA),8,954,46240.5,48.5,875,91.7,508,53.2,657,68.9,319,33.4,4070.41,4.27,216,22.6,266,27.9,905,-100.92,-0.11,-0.2,-0.02
202223,Academic year,Parliamentary constituency,E92000001,England,E14001000,Torridge and West Devon,Provisional,School location,State-funded schools (LA),6,778,32560,41.9,741,95.2,302,38.8,469,60.3,309,39.7,2827.48,3.63,67,8.6,138,17.7,749,-224.548,-0.3,-0.4,-0.2
202223,Academic year,Parliamentary constituency,E92000001,England,E14001001,Totnes,Provisional,School location,State-funded schools (LA),8,1096,50456.75,46,1060,96.7,485,44.3,715,65.2,215,19.6,4243.26,3.87,113,10.3,158,14.4,1045,-159.646,-0.15,-0.24,-0.07
202223,Academic year,Parliamentary constituency,E92000001,England,E14001002,Tottenham,Provisional,School location,State-funded schools (LA),6,908,37134.25,40.9,866,95.4,290,31.9,477,52.5,471,51.9,3430.96,3.78,103,11.3,179,19.7,754,-61.703,-0.08,-0.18,0.02
202223,Academic year,Parliamentary constituency,E92000001,England,E14001003,Truro and Falmouth,Provisional,School location,State-funded schools (LA),6,1048,48604.5,46.4,995,94.9,487,46.5,689,65.7,187,17.8,4040.11,3.86,94,9,133,12.7,1008,18.003,0.02,-0.07,0.11
202223,Academic year,Parliamentary constituency,E92000001,England,E14001004,Tunbridge Wells,Provisional,School location,State-funded schools (LA),9,1537,80273.25,52.2,1454,94.6,908,59.1,1184,77,965,62.8,7316.22,4.76,448,29.1,616,40.1,1368,318.187,0.23,0.16,0.31
202223,Academic year,Parliamentary constituency,E92000001,England,E14001005,Twickenham,Provisional,School location,State-funded schools (LA),11,1336,73106,54.7,1274,95.4,848,63.5,1046,78.3,715,53.5,6724.15,5.03,458,34.3,557,41.7,1204,394.766,0.33,0.25,0.41
202223,Academic year,Parliamentary constituency,E92000001,England,E14001006,Tynemouth,Provisional,School location,State-funded schools (LA),9,1276,63460.75,49.7,1226,96.1,676,53,952,74.6,419,32.8,5532.27,4.34,218,17.1,302,23.7,1249,180.377,0.14,0.07,0.22
