time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Mathematics & science,GCSE,Total pupil entries,243158,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Mathematics & science,GCSE,Total pupil entries,236054,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Mathematics & science,GCSE,Total pupil entries,479212,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Mathematics & science,GCSE,Total pupil entries,5756,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Mathematics & science,GCSE,Total pupil entries,4802,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,Mathematics & science,GCSE,Total pupil entries,10558,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Mathematics & science,GCSE,Total pupil entries,26857,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Mathematics & science,GCSE,Total pupil entries,27336,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Mathematics & science,GCSE,Total pupil entries,54193,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Sikh,Mathematics & science,GCSE,Total pupil entries,285,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Sikh,Mathematics & science,GCSE,Total pupil entries,243,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Sikh,Mathematics & science,GCSE,Total pupil entries,528,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Mathematics & science,GCSE,Total pupil entries,294329,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Mathematics & science,GCSE,Total pupil entries,286930,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Mathematics & science,GCSE,Total pupil entries,581259,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Mathematics & science,GCSE,Total pupil entries,18630,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Mathematics & science,GCSE,Total pupil entries,18344,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Mathematics & science,GCSE,Total pupil entries,36974,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Mathematics & science,GCSE,Total pupil entries,262268,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Mathematics & science,GCSE,Total pupil entries,255121,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Mathematics & science,GCSE,Total pupil entries,517389,z
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Mathematics & science,GCSE,Total pupil entries,13154,z
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Mathematics & science,GCSE,Total pupil entries,13143,z
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Mathematics & science,GCSE,Total pupil entries,26297,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Mathematics & science,GCSE,Total pupil entries,544,z
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Mathematics & science,GCSE,Total pupil entries,603,z
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Mathematics & science,GCSE,Total pupil entries,1147,z
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Mathematics & science,GCSE,Total pupil entries,2591,z
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Mathematics & science,GCSE,Total pupil entries,1235,z
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Mathematics & science,GCSE,Total pupil entries,3826,z
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 1,9224,97
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 1,10413,99
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 1,19637,98
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 1,303,99
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 1,272,100
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 1,575,99
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Media/Film/TV,GCSE,9 to 1,12608,97
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Media/Film/TV,GCSE,9 to 1,13872,99
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Media/Film/TV,GCSE,9 to 1,26480,98
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,53,96
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,18,86
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,71,93
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 1,12288,97
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 1,13585,99
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 1,25873,98
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,40,98
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,13,81
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,53,93
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 1,7000,98
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 1,8026,99
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 1,15026,99
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 1,9,53
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 1,14,67
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 1,23,61
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 1,320,98
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 1,272,99
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 1,592,99
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 1,290,99
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 1,267,100
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 1,557,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,12,92
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,3,100
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,15,94
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,Media/Film/TV,GCSE,9 to 1,3,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Media/Film/TV,GCSE,9 to 1,1824,95
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Media/Film/TV,GCSE,9 to 1,2026,98
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Media/Film/TV,GCSE,9 to 1,3850,96
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Media/Film/TV,GCSE,9 to 1,12301,97
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Media/Film/TV,GCSE,9 to 1,13598,99
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Media/Film/TV,GCSE,9 to 1,25899,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,Media/Film/TV,GCSE,9 to 1,492,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,Media/Film/TV,GCSE,9 to 1,533,98
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,Media/Film/TV,GCSE,9 to 1,1025,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,Media/Film/TV,GCSE,9 to 1,4,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,Media/Film/TV,GCSE,9 to 1,9,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,Media/Film/TV,GCSE,9 to 1,13,100
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Media/Film/TV,GCSE,9 to 1,10892,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Media/Film/TV,GCSE,9 to 1,11787,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Media/Film/TV,GCSE,9 to 1,22679,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Media/Film/TV,GCSE,9 to 1,199,95
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Media/Film/TV,GCSE,9 to 1,221,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,Media/Film/TV,GCSE,9 to 1,420,97
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Media/Film/TV,GCSE,9 to 1,652,98
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Media/Film/TV,GCSE,9 to 1,1008,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Media/Film/TV,GCSE,9 to 1,1660,99
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Media/Film/TV,GCSE,9 to 1,12248,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Media/Film/TV,GCSE,9 to 1,13572,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Media/Film/TV,GCSE,9 to 1,25820,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Media/Film/TV,GCSE,9 to 1,881,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Media/Film/TV,GCSE,9 to 1,1100,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Media/Film/TV,GCSE,9 to 1,1981,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Media/Film/TV,GCSE,9 to 1,11096,97
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Media/Film/TV,GCSE,9 to 1,12192,99
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Media/Film/TV,GCSE,9 to 1,23288,98
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Media/Film/TV,GCSE,9 to 1,262,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Media/Film/TV,GCSE,9 to 1,266,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Media/Film/TV,GCSE,9 to 1,528,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Media/Film/TV,GCSE,9 to 1,9,100
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Media/Film/TV,GCSE,9 to 1,17,100
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Media/Film/TV,GCSE,9 to 1,26,100
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Media/Film/TV,GCSE,9 to 1,71,99
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Media/Film/TV,GCSE,9 to 1,72,96
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Media/Film/TV,GCSE,9 to 1,143,97
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 4,5613,59
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 4,8217,78
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 4,13830,69
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 4,254,83
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 4,256,94
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 4,510,88
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Media/Film/TV,GCSE,9 to 4,7718,60
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Media/Film/TV,GCSE,9 to 4,10959,78
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Media/Film/TV,GCSE,9 to 4,18677,69
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,17,31
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,8,38
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,25,33
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 4,7457,59
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 4,10693,78
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 4,18150,69
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,12,29
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,4,25
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,16,28
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 4,4441,62
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 4,6523,80
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 4,10964,72
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 4,3,18
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 4,5,24
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 4,8,21
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 4,207,63
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 4,214,78
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 4,421,70
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 4,249,85
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 4,252,94
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 4,501,90
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,4,31
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,2,67
202223,Academic year,Provisional,National,E92000001,England,Total,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,6,38
202223,Academic year,Provisional,National,E92000001,England,Boys,Non-maintained special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,Non-maintained special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,Non-maintained special schools,Total,Total,Media/Film/TV,GCSE,9 to 4,3,100
202223,Academic year,Provisional,National,E92000001,England,Boys,Sponsored academies,Total,Total,Media/Film/TV,GCSE,9 to 4,922,48
202223,Academic year,Provisional,National,E92000001,England,Girls,Sponsored academies,Total,Total,Media/Film/TV,GCSE,9 to 4,1421,69
202223,Academic year,Provisional,National,E92000001,England,Total,Sponsored academies,Total,Total,Media/Film/TV,GCSE,9 to 4,2343,59
202223,Academic year,Provisional,National,E92000001,England,Boys,"State-funded inc hosp, PRU & AP",Total,Total,Media/Film/TV,GCSE,9 to 4,7461,59
202223,Academic year,Provisional,National,E92000001,England,Girls,"State-funded inc hosp, PRU & AP",Total,Total,Media/Film/TV,GCSE,9 to 4,10701,78
202223,Academic year,Provisional,National,E92000001,England,Total,"State-funded inc hosp, PRU & AP",Total,Total,Media/Film/TV,GCSE,9 to 4,18162,69
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Church of England,Media/Film/TV,GCSE,9 to 4,312,62
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Church of England,Media/Film/TV,GCSE,9 to 4,444,82
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Church of England,Media/Film/TV,GCSE,9 to 4,756,72
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Jewish,Media/Film/TV,GCSE,9 to 4,4,100
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Jewish,Media/Film/TV,GCSE,9 to 4,9,100
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Jewish,Media/Film/TV,GCSE,9 to 4,13,100
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,No religious character,Media/Film/TV,GCSE,9 to 4,6600,59
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,No religious character,Media/Film/TV,GCSE,9 to 4,9238,77
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,No religious character,Media/Film/TV,GCSE,9 to 4,15838,69
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Other Christian faith,Media/Film/TV,GCSE,9 to 4,108,52
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Other Christian faith,Media/Film/TV,GCSE,9 to 4,169,76
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Other Christian faith,Media/Film/TV,GCSE,9 to 4,277,64
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Roman catholic,Media/Film/TV,GCSE,9 to 4,418,63
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Roman catholic,Media/Film/TV,GCSE,9 to 4,824,81
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Roman catholic,Media/Film/TV,GCSE,9 to 4,1242,74
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,Total,Total,Media/Film/TV,GCSE,9 to 4,7445,59
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,Total,Total,Media/Film/TV,GCSE,9 to 4,10689,78
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,Total,Total,Media/Film/TV,GCSE,9 to 4,18134,69
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in highly selective areas,Total,Media/Film/TV,GCSE,9 to 4,498,55
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in highly selective areas,Total,Media/Film/TV,GCSE,9 to 4,795,71
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in highly selective areas,Total,Media/Film/TV,GCSE,9 to 4,1293,64
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,non-selective schools in other areas,Total,Media/Film/TV,GCSE,9 to 4,6719,59
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,non-selective schools in other areas,Total,Media/Film/TV,GCSE,9 to 4,9635,78
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,non-selective schools in other areas,Total,Media/Film/TV,GCSE,9 to 4,16354,69
202223,Academic year,Provisional,National,E92000001,England,Boys,State-funded mainstream,selective schools,Total,Media/Film/TV,GCSE,9 to 4,225,86
202223,Academic year,Provisional,National,E92000001,England,Girls,State-funded mainstream,selective schools,Total,Media/Film/TV,GCSE,9 to 4,254,95
202223,Academic year,Provisional,National,E92000001,England,Total,State-funded mainstream,selective schools,Total,Media/Film/TV,GCSE,9 to 4,479,91
202223,Academic year,Provisional,National,E92000001,England,Boys,Studio schools,Total,Total,Media/Film/TV,GCSE,9 to 4,4,44
202223,Academic year,Provisional,National,E92000001,England,Girls,Studio schools,Total,Total,Media/Film/TV,GCSE,9 to 4,12,71
202223,Academic year,Provisional,National,E92000001,England,Total,Studio schools,Total,Total,Media/Film/TV,GCSE,9 to 4,16,62
202223,Academic year,Provisional,National,E92000001,England,Boys,University technical colleges (UTCs),Total,Total,Media/Film/TV,GCSE,9 to 4,39,54
202223,Academic year,Provisional,National,E92000001,England,Girls,University technical colleges (UTCs),Total,Total,Media/Film/TV,GCSE,9 to 4,47,63
202223,Academic year,Provisional,National,E92000001,England,Total,University technical colleges (UTCs),Total,Total,Media/Film/TV,GCSE,9 to 4,86,59
202223,Academic year,Provisional,National,E92000001,England,Boys,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 5,3893,41
202223,Academic year,Provisional,National,E92000001,England,Girls,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 5,6761,64
202223,Academic year,Provisional,National,E92000001,England,Total,Academies and free schools,Total,Total,Media/Film/TV,GCSE,9 to 5,10654,53
202223,Academic year,Provisional,National,E92000001,England,Boys,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 5,214,70
202223,Academic year,Provisional,National,E92000001,England,Girls,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 5,231,85
202223,Academic year,Provisional,National,E92000001,England,Total,All independent schools,Total,Total,Media/Film/TV,GCSE,9 to 5,445,77
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Media/Film/TV,GCSE,9 to 5,5457,42
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Media/Film/TV,GCSE,9 to 5,9018,64
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Media/Film/TV,GCSE,9 to 5,14475,54
202223,Academic year,Provisional,National,E92000001,England,Boys,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,11,20
202223,Academic year,Provisional,National,E92000001,England,Girls,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,6,29
202223,Academic year,Provisional,National,E92000001,England,Total,All special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,17,22
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 5,5239,42
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 5,8778,64
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded,Total,Total,Media/Film/TV,GCSE,9 to 5,14017,53
202223,Academic year,Provisional,National,E92000001,England,Boys,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,9,22
202223,Academic year,Provisional,National,E92000001,England,Girls,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,4,25
202223,Academic year,Provisional,National,E92000001,England,Total,All state-funded special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,13,23
202223,Academic year,Provisional,National,E92000001,England,Boys,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 5,3125,44
202223,Academic year,Provisional,National,E92000001,England,Girls,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 5,5453,67
202223,Academic year,Provisional,National,E92000001,England,Total,Converter academies,Total,Total,Media/Film/TV,GCSE,9 to 5,8578,56
202223,Academic year,Provisional,National,E92000001,England,Boys,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 5,2,12
202223,Academic year,Provisional,National,E92000001,England,Girls,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 5,3,14
202223,Academic year,Provisional,National,E92000001,England,Total,FE 14-16 colleges,Total,Total,Media/Film/TV,GCSE,9 to 5,5,13
202223,Academic year,Provisional,National,E92000001,England,Boys,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 5,145,44
202223,Academic year,Provisional,National,E92000001,England,Girls,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 5,177,65
202223,Academic year,Provisional,National,E92000001,England,Total,Free schools,Total,Total,Media/Film/TV,GCSE,9 to 5,322,54
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 5,212,73
202223,Academic year,Provisional,National,E92000001,England,Girls,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 5,229,86
202223,Academic year,Provisional,National,E92000001,England,Total,Independent schools,Total,Total,Media/Film/TV,GCSE,9 to 5,441,79
202223,Academic year,Provisional,National,E92000001,England,Boys,Independent special schools,Total,Total,Media/Film/TV,GCSE,9 to 5,2,15
