time_period,time_identifier,version,geographic_level,country_code,country_name,gender,establishment_type,admission_type,religious_denomination,subject,qualification_type,grade,number_achieving,percentage_achieving
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,German,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,German,AS level and FSMQ,a to e,8,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Latin,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Latin,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Latin,AS level and FSMQ,a to b,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Latin,AS level and FSMQ,a to b,1,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Latin,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Latin,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics,AS level and FSMQ,Total pupil entries,3510,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics,AS level and FSMQ,Total pupil entries,2063,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics,AS level and FSMQ,Total pupil entries,5573,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics,AS level and FSMQ,a to b,2331,66
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics,AS level and FSMQ,a to b,1267,61
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics,AS level and FSMQ,a to b,3598,65
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics,AS level and FSMQ,a to e,3090,88
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics,AS level and FSMQ,a to e,1791,87
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics,AS level and FSMQ,a to e,4881,88
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,a to b,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,a to b,1,50
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,a to e,1,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Mathematics AS level,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Music,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Music,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Music,AS level and FSMQ,a to b,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Music,AS level and FSMQ,a to b,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Music,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Music,AS level and FSMQ,a to e,2,100
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Other Design and Technology,AS level and FSMQ,Total pupil entries,20,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Design and Technology,AS level and FSMQ,Total pupil entries,20,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Other Design and Technology,AS level and FSMQ,a to b,19,95
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Design and Technology,AS level and FSMQ,a to b,19,95
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Other Design and Technology,AS level and FSMQ,a to e,20,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Design and Technology,AS level and FSMQ,a to e,20,100
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Other Modern Languages,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Modern Languages,AS level and FSMQ,Total pupil entries,2,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Other Modern Languages,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Modern Languages,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Other Modern Languages,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Modern Languages,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Other Sciences,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Sciences,AS level and FSMQ,Total pupil entries,1,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Other Sciences,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Sciences,AS level and FSMQ,a to b,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Other Sciences,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Other Sciences,AS level and FSMQ,a to e,0,0
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Religious Studies,AS level and FSMQ,Total pupil entries,96,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Religious Studies,AS level and FSMQ,Total pupil entries,20,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Religious Studies,AS level and FSMQ,Total pupil entries,116,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Religious Studies,AS level and FSMQ,a to b,56,58
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Religious Studies,AS level and FSMQ,a to b,4,20
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Religious Studies,AS level and FSMQ,a to b,60,52
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Religious Studies,AS level and FSMQ,a to e,92,96
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Religious Studies,AS level and FSMQ,a to e,20,100
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Religious Studies,AS level and FSMQ,a to e,112,97
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Social Studies,AS level and FSMQ,Total pupil entries,29,z
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Social Studies,AS level and FSMQ,Total pupil entries,66,z
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Social Studies,AS level and FSMQ,Total pupil entries,95,z
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Social Studies,AS level and FSMQ,a to b,17,59
202223,Academic year,Provisional,National,E92000001,England,Girls,All schools,Total,Total,Social Studies,AS level and FSMQ,a to b,30,45
202223,Academic year,Provisional,National,E92000001,England,Total,All schools,Total,Total,Social Studies,AS level and FSMQ,a to b,47,49
202223,Academic year,Provisional,National,E92000001,England,Boys,All schools,Total,Total,Social Studies,AS level and FSMQ,a to e,27,93
