,time_period,gender,subject,total_exam_entries,grade
34850,200910,Total,Performing Arts,1854,9 to 5
34887,200910,Boys,Physical Education,71108,9 to 5
34888,200910,Girls,Physical Education,38506,9 to 5
34889,200910,Total,Physical Education,109614,9 to 5
34926,200910,Boys,Physics,61597,9 to 5
34927,200910,Girls,Physics,50675,9 to 5
34928,200910,Total,Physics,112272,9 to 5
34965,200910,Boys,Polish,1234,9 to 5
34966,200910,Girls,Polish,1143,9 to 5
34967,200910,Total,Polish,2377,9 to 5
35004,200910,Boys,Religious Studies,79364,9 to 5
35005,200910,Girls,Religious Studies,96986,9 to 5
35006,200910,Total,Religious Studies,176350,9 to 5
35043,200910,Boys,Social Studies,7301,9 to 5
35044,200910,Girls,Social Studies,17475,9 to 5
35045,200910,Total,Social Studies,24776,9 to 5
35082,200910,Boys,Spanish,24744,9 to 5
35083,200910,Girls,Spanish,33486,9 to 5
35084,200910,Total,Spanish,58230,9 to 5
35121,200910,Boys,Statistics,36900,9 to 5
35122,200910,Girls,Statistics,33838,9 to 5
35123,200910,Total,Statistics,70738,9 to 5
35160,200910,Boys,Urdu,1759,9 to 5
35161,200910,Girls,Urdu,2791,9 to 5
35162,200910,Total,Urdu,4550,9 to 5
35199,200910,Boys,Vocational Studies,20355,9 to 5
35200,200910,Girls,Vocational Studies,21321,9 to 5
35201,200910,Total,Vocational Studies,41676,9 to 5
